,x,,,,214290_s_at,ACAA1,2.340004946,,,,
244153_at,-6.121215223,,,,,,,,,,
205884_at,-6.119785117,,,,,,,,,,
217690_at,-6.115502646,,,,,,,,,,
220434_at,-6.112992537,,,,,,,,,,
222485_at,-6.105856033,,,,,,,,,,
1566897_at,-6.101253034,,,,,,,,,,
235548_at,-6.099221809,,,,,,,,,,
45828_at,-6.097075924,,,,,,,,,,
201625_s_at,-6.081533582,,,,,,,,,,
228130_at,-6.07984256,,,,,,,,,,
239740_at,-6.074665152,,,,,,,,,,
219908_at,-6.058319908,,,,,,,,,,
232893_at,-6.035787632,,,,,,,,,,
227769_at,-6.017779611,,,,,,,,,,
208224_at,-6.001564375,,,,,,,,,,
216251_s_at,-5.998692748,,,,,,,,,,
228541_x_at,-5.995133014,,,,,,,,,,
219690_at,-5.985313953,,,,,,,,,,
1556879_at,-5.982374629,,,,,,,,,,
41858_at,-5.981209765,,,,,,,,,,
210657_s_at,-5.980907417,,,,,,,,,,
1554986_a_at,-5.975158795,,,,,,,,,,
1565810_at,-5.971202104,,,,,,,,,,
242856_at,-5.965966095,,,,,,,,,,
205993_s_at,-5.960890098,,,,,,,,,,
1558101_at,-5.957218502,,,,,,,,,,
221042_s_at,-5.957182764,,,,,,,,,,
201965_s_at,-5.957106932,,,,,,,,,,
204030_s_at,-5.950781429,,,,,,,,,,
1565752_at,-5.945646402,,,,,,,,,,
210786_s_at,-5.943030954,,,,,,,,,,
210656_at,-5.931578766,,,,,,,,,,
204005_s_at,-5.922135169,,,,,,,,,,
1554580_a_at,-5.912750487,,,,,,,,,,
231855_at,-5.909770232,,,,,,,,,,
227685_at,-5.908611838,,,,,,,,,,
201338_x_at,-5.906624758,,,,,,,,,,
225977_at,-5.905495062,,,,,,,,,,
216960_s_at,-5.902326959,,,,,,,,,,
232344_at,-5.89406619,,,,,,,,,,
228302_x_at,-5.883937741,,,,,,,,,,
226585_at,-5.872740481,,,,,,,,,,
227234_at,-5.867653509,,,,,,,,,,
211876_x_at,-5.867537748,,,,,,,,,,
236027_at,-5.863915371,,,,,,,,,,
204623_at,-5.8620598,,,,,,,,,,
1555269_a_at,-5.857308384,,,,,,,,,,
219570_at,-5.854702867,,,,,,,,,,
1558154_at,-5.847120851,,,,,,,,,,
242969_at,-5.837734613,,,,,,,,,,
1562961_at,-5.83283302,,,,,,,,,,
208905_at,-5.832272169,,,,,,,,,,
210041_s_at,-5.817106988,,,,,,,,,,
1555259_at,-5.811558909,,,,,,,,,,
1552779_a_at,-5.796060721,,,,,,,,,,
1559171_at,-5.790458583,,,,,,,,,,
241021_at,-5.782199733,,,,,,,,,,
205883_at,-5.776231143,,,,,,,,,,
228639_at,-5.775114158,,,,,,,,,,
226442_at,-5.773757658,,,,,,,,,,
209445_x_at,-5.773680851,,,,,,,,,,
235069_at,-5.772826248,,,,,,,,,,
219419_at,-5.7610658,,,,,,,,,,
222156_x_at,-5.756215594,,,,,,,,,,
232047_at,-5.746020449,,,,,,,,,,
1556236_at,-5.730335006,,,,,,,,,,
226226_at,-5.726358139,,,,,,,,,,
216356_x_at,-5.72533006,,,,,,,,,,
230805_at,-5.72083224,,,,,,,,,,
212282_at,-5.718014675,,,,,,,,,,
233693_at,-5.705531785,,,,,,,,,,
227153_at,-5.687855536,,,,,,,,,,
224240_s_at,-5.685764846,,,,,,,,,,
206219_s_at,-5.683348656,,,,,,,,,,
236742_at,-5.679415266,,,,,,,,,,
223654_s_at,-5.678857285,,,,,,,,,,
225952_at,-5.677019541,,,,,,,,,,
207046_at,-5.671691428,,,,,,,,,,
203338_at,-5.659176478,,,,,,,,,,
211003_x_at,-5.653045729,,,,,,,,,,
1561886_a_at,-5.65236155,,,,,,,,,,
220980_s_at,-5.648722868,,,,,,,,,,
227039_at,-5.64162647,,,,,,,,,,
205843_x_at,-5.638773103,,,,,,,,,,
219346_at,-5.637387608,,,,,,,,,,
225828_at,-5.625293732,,,,,,,,,,
204374_s_at,-5.617040637,,,,,,,,,,
227723_at,-5.615038667,,,,,,,,,,
227027_at,-5.612137118,,,,,,,,,,
240870_at,-5.605574597,,,,,,,,,,
223327_x_at,-5.601130295,,,,,,,,,,
221795_at,-5.599814451,,,,,,,,,,
225393_at,-5.598283156,,,,,,,,,,
226703_at,-5.586010168,,,,,,,,,,
244473_at,-5.583950606,,,,,,,,,,
219113_x_at,-5.577759787,,,,,,,,,,
223458_at,-5.575210046,,,,,,,,,,
