,x,,,,214290_s_at,ACAA1,2.340004946,,,,
1552937_s_at,-0.321273788,,,,,,,,,,
243366_s_at,-0.32124919,,,,,,,,,,
218895_at,-0.321227065,,,,,,,,,,
228588_s_at,-0.321183306,,,,,,,,,,
203511_s_at,-0.320528907,,,,,,,,,,
214310_s_at,-0.320251538,,,,,,,,,,
209047_at,-0.320173632,,,,,,,,,,
201232_s_at,-0.319703262,,,,,,,,,,
235549_at,-0.319426105,,,,,,,,,,
216305_s_at,-0.319160497,,,,,,,,,,
228846_at,-0.31897075,,,,,,,,,,
1570087_at,-0.318251409,,,,,,,,,,
234953_x_at,-0.317872032,,,,,,,,,,
1562467_at,-0.317700827,,,,,,,,,,
211445_x_at,-0.317530241,,,,,,,,,,
212035_s_at,-0.317079302,,,,,,,,,,
227335_at,-0.31705428,,,,,,,,,,
222670_s_at,-0.316650059,,,,,,,,,,
214462_at,-0.316601834,,,,,,,,,,
226032_at,-0.316422809,,,,,,,,,,
205849_s_at,-0.315947627,,,,,,,,,,
235547_at,-0.315717956,,,,,,,,,,
217730_at,-0.315691195,,,,,,,,,,
212403_at,-0.315622792,,,,,,,,,,
223398_at,-0.314888101,,,,,,,,,,
1554667_s_at,-0.314882502,,,,,,,,,,
1555088_x_at,-0.314828343,,,,,,,,,,
226754_at,-0.314754009,,,,,,,,,,
221937_at,-0.314538769,,,,,,,,,,
219960_s_at,-0.314275603,,,,,,,,,,
219416_at,-0.313913508,,,,,,,,,,
238430_x_at,-0.313364066,,,,,,,,,,
225536_at,-0.313230497,,,,,,,,,,
242846_at,-0.312825476,,,,,,,,,,
210105_s_at,-0.31281366,,,,,,,,,,
212273_x_at,-0.312805548,,,,,,,,,,
234304_s_at,-0.312716238,,,,,,,,,,
226276_at,-0.312513837,,,,,,,,,,
224650_at,-0.312051976,,,,,,,,,,
1555760_a_at,-0.312010743,,,,,,,,,,
232138_at,-0.311475779,,,,,,,,,,
210720_s_at,-0.311192246,,,,,,,,,,
212357_at,-0.310713375,,,,,,,,,,
222045_s_at,-0.310372848,,,,,,,,,,
202272_s_at,-0.310295564,,,,,,,,,,
239704_at,-0.310025716,,,,,,,,,,
229748_x_at,-0.309923509,,,,,,,,,,
203519_s_at,-0.309211963,,,,,,,,,,
204763_s_at,-0.309058522,,,,,,,,,,
1568604_a_at,-0.308506277,,,,,,,,,,
228364_at,-0.308418748,,,,,,,,,,
203388_at,-0.308287382,,,,,,,,,,
211760_s_at,-0.307908111,,,,,,,,,,
225697_at,-0.307773926,,,,,,,,,,
224887_at,-0.307655571,,,,,,,,,,
201014_s_at,-0.307198595,,,,,,,,,,
221724_s_at,-0.307135824,,,,,,,,,,
235532_at,-0.306557541,,,,,,,,,,
224330_s_at,-0.306259096,,,,,,,,,,
204934_s_at,-0.306089092,,,,,,,,,,
223494_at,-0.305879875,,,,,,,,,,
231945_at,-0.305809085,,,,,,,,,,
210775_x_at,-0.305744184,,,,,,,,,,
202828_s_at,-0.305698936,,,,,,,,,,
201460_at,-0.305635374,,,,,,,,,,
204079_at,-0.305184505,,,,,,,,,,
239166_at,-0.304249348,,,,,,,,,,
207747_s_at,-0.304214537,,,,,,,,,,
223202_s_at,-0.304155683,,,,,,,,,,
235213_at,-0.303948937,,,,,,,,,,
231976_at,-0.303784956,,,,,,,,,,
223539_s_at,-0.303569741,,,,,,,,,,
227413_at,-0.303363494,,,,,,,,,,
210243_s_at,-0.303347312,,,,,,,,,,
208494_at,-0.303190814,,,,,,,,,,
224511_s_at,-0.303185617,,,,,,,,,,
227103_s_at,-0.30259613,,,,,,,,,,
214911_s_at,-0.302574237,,,,,,,,,,
225547_at,-0.302287157,,,,,,,,,,
212369_at,-0.301432939,,,,,,,,,,
225101_s_at,-0.30141388,,,,,,,,,,
34206_at,-0.300737373,,,,,,,,,,
202205_at,-0.300461662,,,,,,,,,,
224569_s_at,-0.30034542,,,,,,,,,,
223311_s_at,-0.300273859,,,,,,,,,,
223940_x_at,-0.30022828,,,,,,,,,,
203169_at,-0.300184011,,,,,,,,,,
236356_at,-0.299885622,,,,,,,,,,
212118_at,-0.299875003,,,,,,,,,,
209541_at,-0.299378498,,,,,,,,,,
212722_s_at,-0.299372422,,,,,,,,,,
1555793_a_at,-0.298903986,,,,,,,,,,
218295_s_at,-0.298802885,,,,,,,,,,
242679_at,-0.298649492,,,,,,,,,,
223293_at,-0.298603579,,,,,,,,,,
241954_at,-0.298264046,,,,,,,,,,
204258_at,-0.297982943,,,,,,,,,,
1556682_s_at,-0.297759443,,,,,,,,,,
217857_s_at,-0.297623913,,,,,,,,,,
201387_s_at,-0.297380462,,,,,,,,,,
1560296_at,-0.296564696,,,,,,,,,,
201613_s_at,-0.296193946,,,,,,,,,,
217043_s_at,-0.296124304,,,,,,,,,,
233554_at,-0.295933485,,,,,,,,,,
212729_at,-0.295229848,,,,,,,,,,
233899_x_at,-0.295149249,,,,,,,,,,
218399_s_at,-0.295103391,,,,,,,,,,
1555469_a_at,-0.294894088,,,,,,,,,,
1556319_at,-0.294574523,,,,,,,,,,
226016_at,-0.294453246,,,,,,,,,,
212504_at,-0.294228162,,,,,,,,,,
213510_x_at,-0.294113683,,,,,,,,,,
242277_at,-0.293946626,,,,,,,,,,
241867_at,-0.293832075,,,,,,,,,,
209367_at,-0.293697411,,,,,,,,,,
204732_s_at,-0.293543191,,,,,,,,,,
209382_at,-0.293232005,,,,,,,,,,
209078_s_at,-0.293174285,,,,,,,,,,
37408_at,-0.293147848,,,,,,,,,,
232882_at,-0.293060867,,,,,,,,,,
209876_at,-0.292919886,,,,,,,,,,
213799_s_at,-0.292842939,,,,,,,,,,
209287_s_at,-0.292812135,,,,,,,,,,
218672_at,-0.292403497,,,,,,,,,,
226164_x_at,-0.292344768,,,,,,,,,,
225371_at,-0.292012034,,,,,,,,,,
208803_s_at,-0.291800897,,,,,,,,,,
227510_x_at,-0.291762536,,,,,,,,,,
221617_at,-0.291620165,,,,,,,,,,
201665_x_at,-0.291372092,,,,,,,,,,
218355_at,-0.290977103,,,,,,,,,,
234738_s_at,-0.290946869,,,,,,,,,,
209435_s_at,-0.290611999,,,,,,,,,,
209136_s_at,-0.290285955,,,,,,,,,,
219275_at,-0.289760962,,,,,,,,,,
226070_at,-0.289496285,,,,,,,,,,
201620_at,-0.289419257,,,,,,,,,,
213860_x_at,-0.289291012,,,,,,,,,,
203128_at,-0.289122924,,,,,,,,,,
201749_at,-0.289115442,,,,,,,,,,
212835_at,-0.288999931,,,,,,,,,,
217939_s_at,-0.288984584,,,,,,,,,,
211961_s_at,-0.288676943,,,,,,,,,,
216621_at,-0.287874125,,,,,,,,,,
224872_at,-0.287792986,,,,,,,,,,
222039_at,-0.287762412,,,,,,,,,,
237035_at,-0.287700096,,,,,,,,,,
226158_at,-0.2872461,,,,,,,,,,
214266_s_at,-0.287034641,,,,,,,,,,
205808_at,-0.286605197,,,,,,,,,,
207543_s_at,-0.286576943,,,,,,,,,,
209831_x_at,-0.28643226,,,,,,,,,,
218864_at,-0.285231212,,,,,,,,,,
1555613_a_at,-0.284628378,,,,,,,,,,
213772_s_at,-0.284411427,,,,,,,,,,
224218_s_at,-0.284374943,,,,,,,,,,
212381_at,-0.284253308,,,,,,,,,,
215501_s_at,-0.284013545,,,,,,,,,,
224972_at,-0.283807075,,,,,,,,,,
233528_s_at,-0.28376871,,,,,,,,,,
200780_x_at,-0.283764547,,,,,,,,,,
232017_at,-0.283724898,,,,,,,,,,
228201_at,-0.283025358,,,,,,,,,,
214927_at,-0.282767537,,,,,,,,,,
201114_x_at,-0.282646421,,,,,,,,,,
221924_at,-0.282418542,,,,,,,,,,
1563573_at,-0.2824163,,,,,,,,,,
207730_x_at,-0.282200765,,,,,,,,,,
205066_s_at,-0.282189269,,,,,,,,,,
222600_s_at,-0.282126222,,,,,,,,,,
1555575_a_at,-0.28179995,,,,,,,,,,
235912_at,-0.281711738,,,,,,,,,,
202979_s_at,-0.281390041,,,,,,,,,,
202199_s_at,-0.281195604,,,,,,,,,,
210109_at,-0.281116002,,,,,,,,,,
224824_at,-0.280932525,,,,,,,,,,
209507_at,-0.280599962,,,,,,,,,,
1557718_at,-0.280480749,,,,,,,,,,
214877_at,-0.280380286,,,,,,,,,,
203727_at,-0.280354824,,,,,,,,,,
218954_s_at,-0.28004393,,,,,,,,,,
222464_s_at,-0.280016333,,,,,,,,,,
217965_s_at,-0.279993029,,,,,,,,,,
228114_x_at,-0.279928623,,,,,,,,,,
49306_at,-0.279926373,,,,,,,,,,
240510_at,-0.279570151,,,,,,,,,,
235583_at,-0.279313676,,,,,,,,,,
201147_s_at,-0.278902001,,,,,,,,,,
218881_s_at,-0.278836479,,,,,,,,,,
213007_at,-0.27878304,,,,,,,,,,
225874_at,-0.278553947,,,,,,,,,,
207039_at,-0.278420736,,,,,,,,,,
1565975_at,-0.278324192,,,,,,,,,,
243189_at,-0.278183588,,,,,,,,,,
226075_at,-0.278143701,,,,,,,,,,
223313_s_at,-0.277859533,,,,,,,,,,
209139_s_at,-0.277762556,,,,,,,,,,
206686_at,-0.277371094,,,,,,,,,,
223440_at,-0.277341148,,,,,,,,,,
212336_at,-0.277309947,,,,,,,,,,
241489_at,-0.277009959,,,,,,,,,,
1556643_at,-0.2765494,,,,,,,,,,
203697_at,-0.276270493,,,,,,,,,,
203827_at,-0.275679745,,,,,,,,,,
241820_at,-0.275545411,,,,,,,,,,
229115_at,-0.275216564,,,,,,,,,,
221934_s_at,-0.2748045,,,,,,,,,,
233317_at,-0.274697581,,,,,,,,,,
210759_s_at,-0.274589858,,,,,,,,,,
238804_at,-0.2742405,,,,,,,,,,
204542_at,-0.27325036,,,,,,,,,,
215037_s_at,-0.273087369,,,,,,,,,,
201133_s_at,-0.272802676,,,,,,,,,,
201846_s_at,-0.272757865,,,,,,,,,,
222573_s_at,-0.272637195,,,,,,,,,,
222193_at,-0.27250782,,,,,,,,,,
242490_at,-0.27230661,,,,,,,,,,
1562031_at,-0.271903498,,,,,,,,,,
242882_at,-0.271876509,,,,,,,,,,
201507_at,-0.271721382,,,,,,,,,,
1562194_at,-0.271620295,,,,,,,,,,
212714_at,-0.271516741,,,,,,,,,,
1562641_at,-0.271402689,,,,,,,,,,
211685_s_at,-0.271193224,,,,,,,,,,
219981_x_at,-0.270946816,,,,,,,,,,
209179_s_at,-0.270816338,,,,,,,,,,
233557_s_at,-0.270730675,,,,,,,,,,
221712_s_at,-0.270641542,,,,,,,,,,
205472_s_at,-0.270592028,,,,,,,,,,
202291_s_at,-0.270173798,,,,,,,,,,
235730_at,-0.270135921,,,,,,,,,,
236648_at,-0.270089562,,,,,,,,,,
230052_s_at,-0.270015635,,,,,,,,,,
239959_x_at,-0.269819668,,,,,,,,,,
213828_x_at,-0.269769917,,,,,,,,,,
1558561_at,-0.268822284,,,,,,,,,,
210137_s_at,-0.268601299,,,,,,,,,,
202329_at,-0.268431593,,,,,,,,,,
232951_at,-0.268231955,,,,,,,,,,
243664_at,-0.267854838,,,,,,,,,,
242027_at,-0.267675318,,,,,,,,,,
201222_s_at,-0.267610035,,,,,,,,,,
227183_at,-0.267598446,,,,,,,,,,
201041_s_at,-0.26747209,,,,,,,,,,
218131_s_at,-0.267406747,,,,,,,,,,
213517_at,-0.267218043,,,,,,,,,,
226984_at,-0.267179143,,,,,,,,,,
227177_at,-0.26700772,,,,,,,,,,
210994_x_at,-0.266950292,,,,,,,,,,
202624_s_at,-0.266510574,,,,,,,,,,
223500_at,-0.266409582,,,,,,,,,,
215268_at,-0.2663712,,,,,,,,,,
227973_at,-0.265221105,,,,,,,,,,
201246_s_at,-0.265111031,,,,,,,,,,
200792_at,-0.265087491,,,,,,,,,,
226929_at,-0.264983282,,,,,,,,,,
207891_s_at,-0.264846654,,,,,,,,,,
220027_s_at,-0.264256735,,,,,,,,,,
216094_at,-0.264238807,,,,,,,,,,
222410_s_at,-0.263611386,,,,,,,,,,
1554240_a_at,-0.263610238,,,,,,,,,,
219024_at,-0.263237849,,,,,,,,,,
220945_x_at,-0.262973047,,,,,,,,,,
202884_s_at,-0.262838923,,,,,,,,,,
205763_s_at,-0.262824411,,,,,,,,,,
239842_x_at,-0.262351799,,,,,,,,,,
206133_at,-0.262276272,,,,,,,,,,
203081_at,-0.261628799,,,,,,,,,,
221564_at,-0.260202144,,,,,,,,,,
231920_s_at,-0.25986563,,,,,,,,,,
243558_at,-0.259749536,,,,,,,,,,
202932_at,-0.259718436,,,,,,,,,,
225025_at,-0.259389169,,,,,,,,,,
205323_s_at,-0.258844166,,,,,,,,,,
207856_s_at,-0.258690071,,,,,,,,,,
204236_at,-0.258437559,,,,,,,,,,
225843_at,-0.258420872,,,,,,,,,,
205410_s_at,-0.258306143,,,,,,,,,,
1559121_s_at,-0.25823711,,,,,,,,,,
223532_at,-0.258218569,,,,,,,,,,
226462_at,-0.25808146,,,,,,,,,,
231929_at,-0.258030713,,,,,,,,,,
226219_at,-0.257953775,,,,,,,,,,
218653_at,-0.257933489,,,,,,,,,,
1554410_a_at,-0.257907462,,,,,,,,,,
238865_at,-0.257454947,,,,,,,,,,
207838_x_at,-0.256916891,,,,,,,,,,
232588_at,-0.25674424,,,,,,,,,,
226710_at,-0.256725111,,,,,,,,,,
226763_at,-0.25666312,,,,,,,,,,
218898_at,-0.256656016,,,,,,,,,,
203631_s_at,-0.256537107,,,,,,,,,,
65884_at,-0.256485699,,,,,,,,,,
205339_at,-0.255874456,,,,,,,,,,
235744_at,-0.255735426,,,,,,,,,,
214501_s_at,-0.255684383,,,,,,,,,,
218208_at,-0.254652029,,,,,,,,,,
226936_at,-0.254457432,,,,,,,,,,
218572_at,-0.254221355,,,,,,,,,,
201001_s_at,-0.25399045,,,,,,,,,,
220658_s_at,-0.253764216,,,,,,,,,,
223101_s_at,-0.253723555,,,,,,,,,,
224825_at,-0.253535953,,,,,,,,,,
32137_at,-0.253128979,,,,,,,,,,
215374_at,-0.253103942,,,,,,,,,,
1554411_at,-0.252423189,,,,,,,,,,
200616_s_at,-0.252305442,,,,,,,,,,
209509_s_at,-0.252062115,,,,,,,,,,
217122_s_at,-0.251960221,,,,,,,,,,
212514_x_at,-0.251711219,,,,,,,,,,
201275_at,-0.251398273,,,,,,,,,,
219289_at,-0.25132476,,,,,,,,,,
203572_s_at,-0.251009867,,,,,,,,,,
209301_at,-0.250748213,,,,,,,,,,
220694_at,-0.250601448,,,,,,,,,,
219354_at,-0.250556452,,,,,,,,,,
228477_at,-0.250160826,,,,,,,,,,
233026_s_at,-0.250157774,,,,,,,,,,
244054_at,-0.249999602,,,,,,,,,,
217760_at,-0.249614746,,,,,,,,,,
206789_s_at,-0.249001677,,,,,,,,,,
222119_s_at,-0.248978069,,,,,,,,,,
213983_s_at,-0.248710199,,,,,,,,,,
202905_x_at,-0.248190856,,,,,,,,,,
218096_at,-0.248176941,,,,,,,,,,
212908_at,-0.248130913,,,,,,,,,,
233630_at,-0.247332794,,,,,,,,,,
200049_at,-0.247247618,,,,,,,,,,
236458_at,-0.247195884,,,,,,,,,,
243084_at,-0.24677794,,,,,,,,,,
204933_s_at,-0.24653944,,,,,,,,,,
211122_s_at,-0.246166503,,,,,,,,,,
218598_at,-0.246142227,,,,,,,,,,
203279_at,-0.246031281,,,,,,,,,,
212978_at,-0.245972474,,,,,,,,,,
225202_at,-0.245949063,,,,,,,,,,
212497_at,-0.245846789,,,,,,,,,,
201122_x_at,-0.245572743,,,,,,,,,,
225863_s_at,-0.245229417,,,,,,,,,,
202891_at,-0.24480077,,,,,,,,,,
204661_at,-0.244139816,,,,,,,,,,
226140_s_at,-0.244016776,,,,,,,,,,
1552623_at,-0.244011162,,,,,,,,,,
218211_s_at,-0.243902493,,,,,,,,,,
202181_at,-0.24339884,,,,,,,,,,
226743_at,-0.243153163,,,,,,,,,,
213647_at,-0.242644996,,,,,,,,,,
212455_at,-0.241843233,,,,,,,,,,
207721_x_at,-0.241667288,,,,,,,,,,
228513_at,-0.241479853,,,,,,,,,,
1570607_at,-0.241446922,,,,,,,,,,
207686_s_at,-0.241441394,,,,,,,,,,
1553865_a_at,-0.240945658,,,,,,,,,,
218324_s_at,-0.240715671,,,,,,,,,,
222611_s_at,-0.240258761,,,,,,,,,,
213146_at,-0.240173159,,,,,,,,,,
53987_at,-0.240088657,,,,,,,,,,
217256_x_at,-0.239278161,,,,,,,,,,
1554441_a_at,-0.239234102,,,,,,,,,,
200623_s_at,-0.239182516,,,,,,,,,,
1554179_s_at,-0.23846952,,,,,,,,,,
216474_x_at,-0.23836297,,,,,,,,,,
233109_at,-0.238053349,,,,,,,,,,
201748_s_at,-0.237782013,,,,,,,,,,
230580_at,-0.237381352,,,,,,,,,,
212078_s_at,-0.237348573,,,,,,,,,,
210629_x_at,-0.236796478,,,,,,,,,,
203122_at,-0.236174592,,,,,,,,,,
203490_at,-0.235758476,,,,,,,,,,
41660_at,-0.235486843,,,,,,,,,,
216450_x_at,-0.235358821,,,,,,,,,,
210469_at,-0.234600857,,,,,,,,,,
209099_x_at,-0.234597155,,,,,,,,,,
202565_s_at,-0.234572735,,,,,,,,,,
1557193_at,-0.233942592,,,,,,,,,,
233091_at,-0.233919883,,,,,,,,,,
203876_s_at,-0.233916195,,,,,,,,,,
225165_at,-0.233574124,,,,,,,,,,
205163_at,-0.233517652,,,,,,,,,,
202853_s_at,-0.233271307,,,,,,,,,,
202728_s_at,-0.233222966,,,,,,,,,,
1557710_at,-0.232460261,,,,,,,,,,
216326_s_at,-0.23244774,,,,,,,,,,
225289_at,-0.232253712,,,,,,,,,,
221761_at,-0.231878189,,,,,,,,,,
224991_at,-0.231669717,,,,,,,,,,
226783_at,-0.231243186,,,,,,,,,,
218514_at,-0.231221331,,,,,,,,,,
207657_x_at,-0.230719198,,,,,,,,,,
213449_at,-0.230419868,,,,,,,,,,
202080_s_at,-0.2303722,,,,,,,,,,
233496_s_at,-0.230261274,,,,,,,,,,
230424_at,-0.229723973,,,,,,,,,,
210346_s_at,-0.229596916,,,,,,,,,,
225483_at,-0.22948334,,,,,,,,,,
202274_at,-0.229004583,,,,,,,,,,
214692_s_at,-0.228986921,,,,,,,,,,
232125_at,-0.22891039,,,,,,,,,,
1555935_s_at,-0.228873454,,,,,,,,,,
217619_x_at,-0.228859818,,,,,,,,,,
209311_at,-0.22866905,,,,,,,,,,
201060_x_at,-0.228123851,,,,,,,,,,
222139_at,-0.227093519,,,,,,,,,,
242057_at,-0.226907853,,,,,,,,,,
213932_x_at,-0.226594854,,,,,,,,,,
212521_s_at,-0.22657909,,,,,,,,,,
222956_at,-0.226433259,,,,,,,,,,
217865_at,-0.22569148,,,,,,,,,,
232775_at,-0.225657365,,,,,,,,,,
224580_at,-0.225548873,,,,,,,,,,
1555763_x_at,-0.225531992,,,,,,,,,,
243933_at,-0.225311539,,,,,,,,,,
230865_at,-0.225211788,,,,,,,,,,
200680_x_at,-0.225204445,,,,,,,,,,
242068_at,-0.224904324,,,,,,,,,,
207326_at,-0.224661566,,,,,,,,,,
204069_at,-0.224406867,,,,,,,,,,
220295_x_at,-0.223748563,,,,,,,,,,
212014_x_at,-0.223571861,,,,,,,,,,
236755_at,-0.22260979,,,,,,,,,,
203968_s_at,-0.22253024,,,,,,,,,,
225744_at,-0.222516615,,,,,,,,,,
216491_x_at,-0.221877638,,,,,,,,,,
244495_x_at,-0.221331997,,,,,,,,,,
219020_at,-0.220999981,,,,,,,,,,
239726_at,-0.220542578,,,,,,,,,,
209925_at,-0.22045341,,,,,,,,,,
214110_s_at,-0.220209583,,,,,,,,,,
241946_at,-0.219578513,,,,,,,,,,
214720_x_at,-0.219526556,,,,,,,,,,
230250_at,-0.219449709,,,,,,,,,,
243489_at,-0.219331097,,,,,,,,,,
203276_at,-0.218957481,,,,,,,,,,
201173_x_at,-0.218092733,,,,,,,,,,
213926_s_at,-0.217292423,,,,,,,,,,
202124_s_at,-0.217268712,,,,,,,,,,
220708_at,-0.217238509,,,,,,,,,,
243074_at,-0.217026147,,,,,,,,,,
1554101_a_at,-0.216249926,,,,,,,,,,
207939_x_at,-0.215937156,,,,,,,,,,
224810_s_at,-0.21568167,,,,,,,,,,
205238_at,-0.215285547,,,,,,,,,,
213149_at,-0.215190903,,,,,,,,,,
227524_at,-0.215126975,,,,,,,,,,
209641_s_at,-0.214955923,,,,,,,,,,
219658_at,-0.214272839,,,,,,,,,,
205417_s_at,-0.214137067,,,,,,,,,,
239110_s_at,-0.21410252,,,,,,,,,,
224688_at,-0.213259857,,,,,,,,,,
214040_s_at,-0.212632011,,,,,,,,,,
212388_at,-0.212624028,,,,,,,,,,
229307_at,-0.21260524,,,,,,,,,,
1552295_a_at,-0.21191813,,,,,,,,,,
242900_at,-0.211614193,,,,,,,,,,
201642_at,-0.211516005,,,,,,,,,,
225326_at,-0.2111835,,,,,,,,,,
207824_s_at,-0.211163983,,,,,,,,,,
227816_at,-0.210944882,,,,,,,,,,
231437_at,-0.210835444,,,,,,,,,,
235040_at,-0.210775379,,,,,,,,,,
215067_x_at,-0.210476948,,,,,,,,,,
205096_at,-0.210158965,,,,,,,,,,
222180_at,-0.210134098,,,,,,,,,,
223355_at,-0.210065914,,,,,,,,,,
242877_at,-0.209897523,,,,,,,,,,
212772_s_at,-0.209594006,,,,,,,,,,
204416_x_at,-0.209311229,,,,,,,,,,
214322_at,-0.208824167,,,,,,,,,,
209595_at,-0.208645012,,,,,,,,,,
200864_s_at,-0.208578101,,,,,,,,,,
203576_at,-0.208412413,,,,,,,,,,
221558_s_at,-0.207799536,,,,,,,,,,
202381_at,-0.207474126,,,,,,,,,,
1558975_at,-0.20723185,,,,,,,,,,
226891_at,-0.207121015,,,,,,,,,,
221638_s_at,-0.207113097,,,,,,,,,,
202353_s_at,-0.206923766,,,,,,,,,,
241680_at,-0.206889053,,,,,,,,,,
225768_at,-0.206612022,,,,,,,,,,
203229_s_at,-0.206162045,,,,,,,,,,
210298_x_at,-0.206050851,,,,,,,,,,
233080_s_at,-0.205748602,,,,,,,,,,
41657_at,-0.20521489,,,,,,,,,,
204441_s_at,-0.204680864,,,,,,,,,,
205205_at,-0.204550669,,,,,,,,,,
243992_at,-0.203919228,,,,,,,,,,
210646_x_at,-0.203514971,,,,,,,,,,
222696_at,-0.203439902,,,,,,,,,,
212387_at,-0.203112717,,,,,,,,,,
210809_s_at,-0.203057478,,,,,,,,,,
224347_x_at,-0.203001768,,,,,,,,,,
218787_x_at,-0.202926823,,,,,,,,,,
224748_at,-0.202832049,,,,,,,,,,
205153_s_at,-0.202650307,,,,,,,,,,
210148_at,-0.202402489,,,,,,,,,,
1566980_at,-0.202107524,,,,,,,,,,
200645_at,-0.202065172,,,,,,,,,,
1569020_at,-0.201778165,,,,,,,,,,
204638_at,-0.201584239,,,,,,,,,,
209526_s_at,-0.201192127,,,,,,,,,,
243593_s_at,-0.201019913,,,,,,,,,,
203201_at,-0.200173379,,,,,,,,,,
208782_at,-0.199653875,,,,,,,,,,
229773_at,-0.199231689,,,,,,,,,,
231927_at,-0.19919208,,,,,,,,,,
220744_s_at,-0.199181716,,,,,,,,,,
209743_s_at,-0.199050935,,,,,,,,,,
223088_x_at,-0.198914681,,,,,,,,,,
226519_s_at,-0.198681375,,,,,,,,,,
218836_at,-0.198607749,,,,,,,,,,
215434_x_at,-0.198214329,,,,,,,,,,
218622_at,-0.198148116,,,,,,,,,,
206095_s_at,-0.198006696,,,,,,,,,,
221735_at,-0.197899707,,,,,,,,,,
228801_at,-0.197491831,,,,,,,,,,
221577_x_at,-0.196950725,,,,,,,,,,
212236_x_at,-0.196777184,,,,,,,,,,
243751_at,-0.196498024,,,,,,,,,,
201741_x_at,-0.196247228,,,,,,,,,,
211487_x_at,-0.196177457,,,,,,,,,,
235757_at,-0.195978308,,,,,,,,,,
213145_at,-0.195291577,,,,,,,,,,
204798_at,-0.1952534,,,,,,,,,,
234650_at,-0.194761758,,,,,,,,,,
225517_at,-0.194711175,,,,,,,,,,
212762_s_at,-0.194584446,,,,,,,,,,
218938_at,-0.194559529,,,,,,,,,,
220605_s_at,-0.194478787,,,,,,,,,,
235959_at,-0.194287444,,,,,,,,,,
201042_at,-0.194203563,,,,,,,,,,
1555358_a_at,-0.194014309,,,,,,,,,,
1554016_a_at,-0.193741633,,,,,,,,,,
205172_x_at,-0.193680577,,,,,,,,,,
200957_s_at,-0.193038281,,,,,,,,,,
241713_s_at,-0.192989405,,,,,,,,,,
219408_at,-0.192846709,,,,,,,,,,
212209_at,-0.192823603,,,,,,,,,,
212572_at,-0.192772942,,,,,,,,,,
204553_x_at,-0.192419481,,,,,,,,,,
52651_at,-0.192399705,,,,,,,,,,
210663_s_at,-0.192289234,,,,,,,,,,
232350_x_at,-0.192281188,,,,,,,,,,
221896_s_at,-0.191556872,,,,,,,,,,
212720_at,-0.191226844,,,,,,,,,,
203100_s_at,-0.191156921,,,,,,,,,,
1557370_s_at,-0.190434268,,,,,,,,,,
211370_s_at,-0.189944451,,,,,,,,,,
202505_at,-0.189880488,,,,,,,,,,
211121_s_at,-0.189237936,,,,,,,,,,
225864_at,-0.188670823,,,,,,,,,,
205980_s_at,-0.188482624,,,,,,,,,,
201894_s_at,-0.188426648,,,,,,,,,,
203093_s_at,-0.188362092,,,,,,,,,,
202399_s_at,-0.188329999,,,,,,,,,,
37996_s_at,-0.188134894,,,,,,,,,,
222559_s_at,-0.188098625,,,,,,,,,,
217757_at,-0.188060241,,,,,,,,,,
205435_s_at,-0.18800564,,,,,,,,,,
203533_s_at,-0.18749142,,,,,,,,,,
226539_s_at,-0.187263576,,,,,,,,,,
228001_at,-0.187157489,,,,,,,,,,
208914_at,-0.187079356,,,,,,,,,,
202455_at,-0.186736593,,,,,,,,,,
222214_at,-0.18670172,,,,,,,,,,
91703_at,-0.18667545,,,,,,,,,,
218010_x_at,-0.186552807,,,,,,,,,,
208655_at,-0.186514578,,,,,,,,,,
213308_at,-0.185869413,,,,,,,,,,
214632_at,-0.185809906,,,,,,,,,,
214879_x_at,-0.18545261,,,,,,,,,,
218874_s_at,-0.185402653,,,,,,,,,,
227369_at,-0.185401366,,,,,,,,,,
200781_s_at,-0.184740707,,,,,,,,,,
208659_at,-0.184506786,,,,,,,,,,
230663_at,-0.184481976,,,,,,,,,,
226601_at,-0.184478841,,,,,,,,,,
218484_at,-0.184435781,,,,,,,,,,
215390_at,-0.1843972,,,,,,,,,,
1558304_s_at,-0.183999744,,,,,,,,,,
208991_at,-0.183701692,,,,,,,,,,
221539_at,-0.183668639,,,,,,,,,,
215577_at,-0.18351121,,,,,,,,,,
222899_at,-0.182785068,,,,,,,,,,
208693_s_at,-0.182596575,,,,,,,,,,
223815_at,-0.182444398,,,,,,,,,,
225359_at,-0.182250378,,,,,,,,,,
206359_at,-0.182246547,,,,,,,,,,
1552678_a_at,-0.181325793,,,,,,,,,,
226602_s_at,-0.181173652,,,,,,,,,,
215498_s_at,-0.181122639,,,,,,,,,,
208744_x_at,-0.180792088,,,,,,,,,,
1554602_at,-0.180761787,,,,,,,,,,
210891_s_at,-0.180112358,,,,,,,,,,
213700_s_at,-0.179912568,,,,,,,,,,
201736_s_at,-0.179635728,,,,,,,,,,
201572_x_at,-0.179450884,,,,,,,,,,
201101_s_at,-0.179356403,,,,,,,,,,
225331_at,-0.179176124,,,,,,,,,,
216525_x_at,-0.178436397,,,,,,,,,,
227286_at,-0.1784312,,,,,,,,,,
220690_s_at,-0.178235045,,,,,,,,,,
238955_at,-0.178065108,,,,,,,,,,
222429_at,-0.178042295,,,,,,,,,,
1560443_at,-0.177907738,,,,,,,,,,
220668_s_at,-0.177633001,,,,,,,,,,
243561_at,-0.177411901,,,,,,,,,,
222529_at,-0.177256733,,,,,,,,,,
